x	y	z	c
0.0902716367596822	-0.473220492061818	-0.876306680043864	-0.876306680043864
0.110139973268665	-0.577373959493242	-0.809016994374947	-0.809016994374947
0.128271336604771	-0.672421894676972	-0.728968627421412	-0.728968627421412
0.144379784337037	-0.756865334896277	-0.63742398974869	-0.63742398974869
0.158211276622005	-0.829372556654831	-0.535826794978997	-0.535826794978997
0.169547682563809	-0.888800077751789	-0.425779291565073	-0.425779291565073
0.178210220268706	-0.934210690679171	-0.309016994374947	-0.309016994374947
0.184062276342339	-0.964888242944126	-0.187381314585725	-0.187381314585725
0.18701156036458	-0.980348931221554	-0.0627905195293134	-0.0627905195293134
0.18701156036458	-0.980348931221554	0.0627905195293134	0.0627905195293134
0.184062276342339	-0.964888242944126	0.187381314585725	0.187381314585725
0.178210220268706	-0.934210690679171	0.309016994374947	0.309016994374947
0.169547682563809	-0.888800077751789	0.425779291565073	0.425779291565073
0.158211276622005	-0.829372556654831	0.535826794978997	0.535826794978997
0.144379784337037	-0.756865334896277	0.63742398974869	0.63742398974869
0.128271336604771	-0.672421894676972	0.728968627421412	0.728968627421412
0.110139973268665	-0.577373959493242	0.809016994374947	0.809016994374947
0	-0	-1	-1
0.0533642953965693	-0.113404900302025	-0.992114701314478	-0.992114701314478
0.10588700397645	-0.225021337581483	-0.968583161128631	-0.968583161128631
0.156739811249791	-0.333089053946049	-0.929776485888251	-0.929776485888251
0.205120738067899	-0.43590375695213	-0.876306680043864	-0.876306680043864
0.250266788313487	-0.531843997314794	-0.809016994374947	-0.809016994374947
0.291465981805238	-0.6193967401316	-0.728968627421412	-0.728968627421412
0.328068582650582	-0.697181226346852	-0.63742398974869	-0.63742398974869
0.359497345968855	-0.763970748146737	-0.535826794978997	-0.535826794978997
0.385256621387895	-0.818711994874345	-0.425779291565073	-0.425779291565073
0.404940169746496	-0.860541664367945	-0.309016994374947	-0.309016994374947
0.418237569728664	-0.888800077751789	-0.187381314585725	-0.187381314585725
0.424939113393197	-0.903041582966058	-0.0627905195293134	-0.0627905195293134
0.424939113393197	-0.903041582966058	0.0627905195293134	0.0627905195293134
0.418237569728664	-0.888800077751789	0.187381314585725	0.187381314585725
0.404940169746496	-0.860541664367945	0.309016994374947	0.309016994374947
0.385256621387895	-0.818711994874345	0.425779291565073	0.425779291565073
0.359497345968855	-0.763970748146737	0.535826794978997	0.535826794978997
0.328068582650582	-0.697181226346852	0.63742398974869	0.63742398974869
0.291465981805238	-0.6193967401316	0.728968627421412	0.728968627421412
0.250266788313487	-0.531843997314794	0.809016994374947	0.809016994374947
0	-0	-1	-1
0.0798904097866632	-0.0965709162212075	-0.992114701314478	-0.992114701314478
0.158520900086773	-0.191618851404938	-0.968583161128631	-0.968583161128631
0.234651421096719	-0.283644842834458	-0.929776485888251	-0.929776485888251
0.307081349022005	-0.371197585651263	-0.876306680043864	-0.876306680043864
0.374668420631708	-0.452896320799659	-0.809016994374947	-0.809016994374947
0.436346747431984	-0.527452610421896	-0.728968627421412	-0.728968627421412
0.491143625364344	-0.593690657292862	-0.63742398974869	-0.63742398974869
0.538194874929729	-0.650565847844713	-0.535826794978997	-0.535826794978997
0.576758469815437	-0.697181226346852	-0.425779291565073	-0.425779291565073
0.606226239093346	-0.732801640433624	-0.309016994374947	-0.309016994374947
0.626133458438752	-0.756865334896277	-0.187381314585725	-0.187381314585725
0.636166179110581	-0.76899281089818	-0.0627905195293134	-0.0627905195293134
0.636166179110581	-0.76899281089818	0.0627905195293134	0.0627905195293134
0.626133458438752	-0.756865334896277	0.187381314585725	0.187381314585725
0.606226239093346	-0.732801640433624	0.309016994374947	0.309016994374947
0.576758469815437	-0.697181226346852	0.425779291565073	0.425779291565073
0.538194874929729	-0.650565847844713	0.535826794978997	0.535826794978997
0.491143625364344	-0.593690657292862	0.63742398974869	0.63742398974869
0.436346747431984	-0.527452610421896	0.728968627421412	0.728968627421412
0.374668420631708	-0.452896320799659	0.809016994374947	0.809016994374947
0	-0	-1	-1
0.101396715913487	-0.073669026311226	-0.992114701314478	-0.992114701314478
0.201194345045556	-0.146176248069781	-0.968583161128631	-0.968583161128631
0.29781901916858	-0.216378183074817	-0.929776485888251	-0.929776485888251
0.389746909450858	-0.283167704874703	-0.876306680043864	-0.876306680043864
0.475528258147577	-0.345491502812526	-0.809016994374947	-0.809016994374947
0.553810242146497	-0.402366693364377	-0.728968627421412	-0.728968627421412
0.623358307796563	-0.452896320799659	-0.63742398974869	-0.63742398974869
0.683075640556475	-0.496283502708782	-0.535826794978997	-0.535826794978997
0.732020462415202	-0.531843997314794	-0.425779291565073	-0.425779291565073
0.769420884293813	-0.559016994374947	-0.309016994374947	-0.309016994374947
0.794687079197354	-0.577373959493242	-0.187381314585725	-0.187381314585725
0.807420584138902	-0.586625392363843	-0.0627905195293134	-0.0627905195293134
0.807420584138902	-0.586625392363843	0.0627905195293134	0.0627905195293134
0.794687079197354	-0.577373959493242	0.187381314585725	0.187381314585725
0.769420884293813	-0.559016994374947	0.309016994374947	0.309016994374947
0.732020462415202	-0.531843997314794	0.425779291565073	0.425779291565073
0.683075640556475	-0.496283502708782	0.535826794978997	0.535826794978997
0.623358307796563	-0.452896320799659	0.63742398974869	0.63742398974869
0.553810242146497	-0.402366693364377	0.728968627421412	0.728968627421412
0.475528258147577	-0.345491502812526	0.809016994374947	0.809016994374947
0	-0	-1	-1
0.11653189346843	-0.0461382405423838	-0.992114701314478	-0.992114701314478
0.231226009364085	-0.0915488534697653	-0.968583161128631	-0.968583161128631
0.342273552964344	-0.135515686289294	-0.929776485888251	-0.929776485888251
0.447923238170047	-0.177345355782894	-0.876306680043864	-0.876306680043864
0.546508906333435	-0.216378183074817	-0.809016994374947	-0.809016994374947
